Cell phones emit radiation that may or may not cause brain cancer.,Fact
This recipe requires a gallon of water.,Fact
Your birthday comes only one day a year.,Fact
Frogs are very cool animals to keep as pets.,Opinion
Watching fireworks on the 4th of July is a lot of fun.,Opinion
Basketball is a much more exciting sport than golf.,Opinion
Dogs and cats walk on four legs.,Fact
The Harry Potter series are absolutely legendary.,Opinion
Many New York dwellers believe the MTA should do a better job with the train delays.,Fact
April is a month with 30 days.,Fact
There should be more spices in this curry. It's too bland!,Opinion
Drug dealers belong in prison.,Opinion
The more money someone has the more successful they are.,Opinion
Applying for jobs is not an easy task.,Opinion
Michael Jordan is the greatest basketball player of all time.,Opinion
Mark Twain died on April 21 on the year 1910.,Fact
Watching horror movies is scary.,Opinion
Charles Dickens wrote many books.,Fact
Mark Twain is a pseudonym of Samuel Langhorne Clemens.,Fact
There are many TV shows you can watch on the Internet.,Fact
The first day of the school year is scary.,Opinion
The Declaration of Independence was signed on year 1776.,Fact
This has been a terrible week.,Opinion
There seems to be too much standardized testing in public schools.,Opinion
The boiling point for water is 212 degrees Fahrenheit or 100 degrees Celsius.,Fact
Sister Carrie was written by Theodore Dreiser.,Fact
IBM was founded on June 16 on the year 1911 in New York City.,Fact
The television show The Simpsons is just not as funny as it used to be.,Opinion
This is the best artwork I have ever seen.,Opinion
Monday and Wednesday are weekdays.,Fact
Everyone should make Valentine's Day cards.,Opinion
Everybody should get more exercise.,Opinion
Not many young people listen to classical music these days.,Opinion
The ugliest sea creature is the manatee.,Opinion
The average salary for a player on the Yankees is over six million dollars.,Fact
Mark Twain wrote The Adventures of Tom Sawyer.,Fact
Calculus is hard.,Opinion
Spring is the most beautiful season of all.,Opinion
Memorial Day is the most important holiday of the year.,Opinion
Mary Lou Retton was the first American to win the gold medal in the Women's All-Around event.,Fact
Paris is the best city to live.,Opinion
People come in all shapes and sizes.,Fact
The genres of The Scarlet Letter are romanticism and historical drama,Fact
Prison is one of the worst places on the planet.,Opinion
It is wrong for people under the age of 21 to drink alcohol.,Opinion
That professor is so late today. He should just quit his job you know?,Opinion
There are more cell phones in Japan than people.,Fact
She believes that all people should be guaranteed an education.,Opinion
Pearl Harbor was bombed on year 1941.,Fact
